City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
albany,40,US,1575426361,63,42.65,-73.75,-1.67,4.1
jamestown,0,AU,1575426082,21,-33.21,138.6,26.12,4.33
nanchong,99,CN,1575426088,50,30.8,106.08,12.06,1.89
yenotayevka,100,RU,1575426089,74,47.24,47.04,0.07,6.6
airai,84,TL,1575426090,43,-8.93,125.41,30.31,3.07
hilo,90,US,1575426018,83,19.71,-155.08,24.0,4.1
avarua,9,CK,1575426093,74,-21.21,-159.78,27.0,2.6
nyurba,0,RU,1575426094,90,63.29,118.35,-33.97,3.7
mataura,44,NZ,1575426095,61,-46.19,168.86,14.36,8.1
kapaa,40,US,1575426096,74,22.08,-159.32,27.0,5.1
ngunguru,54,NZ,1575426097,69,-35.62,174.5,22.22,0.89
launceston,75,AU,1575426015,31,-41.43,147.14,16.0,11.8
sao joao da ponte,100,BR,1575426099,97,-15.93,-44.01,19.58,2.78
koster,100,ZA,1575426100,90,-25.86,26.9,15.96,4.47
port alfred,61,ZA,1575426102,64,-33.59,26.89,16.67,1.79
wilmington,40,US,1575426018,74,39.75,-75.55,2.22,2.1
tuatapere,100,NZ,1575426104,96,-46.13,167.69,7.84,1.91
inhambane,61,MZ,1575426105,85,-23.87,35.38,26.13,9.83
cherskiy,100,RU,1575426010,96,68.75,161.3,-27.94,1.86
tuktoyaktuk,90,CA,1575426008,83,69.44,-133.03,-23.0,3.6
nome,1,US,1575426109,87,30.04,-94.42,13.89,2.52
tasiilaq,99,GL,1575426110,92,65.61,-37.64,-3.0,2.1
aguimes,75,ES,1575426111,59,27.91,-15.45,19.0,3.6
fortuna,75,US,1575426112,81,40.6,-124.16,12.0,1.5
hermanus,76,ZA,1575426113,52,-34.42,19.24,13.89,1.34
sergeyevka,97,KZ,1575426114,92,53.88,67.42,-12.17,2.81
saskylakh,2,RU,1575426116,98,71.97,114.09,-37.51,2.87
hobart,75,AU,1575425877,31,-42.88,147.33,16.11,11.8
mulege,4,MX,1575426118,64,26.88,-111.98,18.91,2.95
mahebourg,40,MU,1575426119,69,-20.41,57.7,25.0,3.6
okhotsk,100,RU,1575426120,60,59.36,143.24,-17.31,12.04
lebu,40,ET,1575426121,71,8.96,38.73,12.0,5.1
cape town,0,ZA,1575426056,58,-33.93,18.42,15.56,9.8
rikitea,85,PF,1575426123,86,-23.12,-134.97,24.86,7.38
ruteng,100,ID,1575426125,55,-8.61,120.46,29.03,2.09
punta arenas,75,CL,1575426059,71,-53.16,-70.91,12.0,9.3
ushuaia,75,AR,1575426022,71,-54.81,-68.31,10.0,8.2
scarborough,91,GB,1575425832,93,54.28,-0.41,5.0,1.5
yulara,0,AU,1575426130,11,-25.24,130.99,33.0,4.1
arraial do cabo,75,BR,1575426131,88,-22.97,-42.02,21.0,1.5
luderitz,0,NA,1575426132,55,-26.65,15.16,17.0,6.2
codrington,0,AU,1575426133,11,-28.95,153.24,32.0,3.1
whitianga,0,NZ,1575425918,61,-36.83,175.7,26.67,1.79
ancud,44,CL,1575426135,76,-41.87,-73.83,10.0,5.7
riyadh,0,SA,1575426136,62,24.63,46.72,12.0,2.8
atuona,0,PF,1575426138,73,-9.8,-139.03,26.49,6.74
busselton,0,AU,1575426069,34,-33.64,115.35,29.11,4.58
hithadhoo,17,MV,1575426140,76,-0.6,73.08,28.07,2.15
cayenne,75,GF,1575426141,88,4.94,-52.33,25.0,2.35
bluff,0,AU,1575426142,15,-23.58,149.07,35.26,3.6
tvedestrand,0,NO,1575426143,81,58.62,8.93,7.0,3.1
reims,20,FR,1575426144,92,49.26,4.03,1.11,1.0
puerto ayora,11,EC,1575426146,90,-0.74,-90.35,21.67,3.63
barrow,9,AR,1575426147,77,-38.31,-60.23,10.38,2.33
tabuk,100,PH,1575426148,98,17.41,121.44,22.76,2.79
pevek,100,RU,1575426149,81,69.7,170.27,-14.79,2.09
labuhan,92,ID,1575426150,70,-2.54,115.51,29.66,1.32
torbay,90,CA,1575426151,100,47.66,-52.73,5.56,4.1
bethel,1,US,1575425881,84,60.79,-161.76,-14.0,4.1
camopi,67,GF,1575426154,99,3.17,-52.33,21.71,0.94
gampaha,75,LK,1575426155,94,7.09,80.0,25.0,3.1
najran,0,SA,1575426156,50,17.54,44.22,12.0,0.72
severo-yeniseyskiy,100,RU,1575426157,91,60.37,93.04,-13.72,1.37
kresttsy,100,RU,1575426158,91,58.25,32.52,-2.31,4.56
baruun-urt,89,MN,1575426160,90,46.68,113.28,-18.25,1.14
vallenar,0,CL,1575426161,83,-28.58,-70.76,14.07,1.37
lorengau,98,PG,1575426162,67,-2.02,147.27,29.4,1.17
eureka,75,US,1575426105,81,40.8,-124.16,12.0,1.5
haines junction,100,CA,1575426164,96,60.75,-137.51,-13.35,1.63
la ligua,38,CL,1575426166,76,-32.45,-71.23,14.0,3.6
kuandian,76,CN,1575426167,50,40.73,124.78,-5.09,2.94
dikson,100,RU,1575426062,86,73.51,80.55,-16.65,4.46
sheregesh,100,RU,1575426169,69,52.93,87.98,-5.18,1.54
lapa,90,BR,1575426170,93,-25.77,-49.72,16.11,4.1
enugu,100,NG,1575425985,74,6.45,7.5,23.51,1.56
klaksvik,100,FO,1575426172,93,62.23,-6.59,9.0,12.3
